id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.foxnews.android:id/big_top_item_container,,android.view.ViewGroup,item_1,.corenav.StartActivity,.feature.articledetail.ArticleDetailActivity,,
com.foxnews.android:id/save,,android.widget.ImageView,save_bookmark,.feature.articledetail.ArticleDetailActivity,,,
com.foxnews.android:id/navbar_for_you,,androidx.appcompat.widget.LinearLayoutCompat,menu_account,.corenav.StartActivity,,,
com.foxnews.android:id/component_headline_item_container,,android.view.ViewGroup,item_1,.corenav.StartActivity,.feature.articledetail.ArticleDetailActivity,,
com.foxnews.android:id/save,,android.widget.ImageView,remove_bookmark,.feature.articledetail.ArticleDetailActivity,,,
com.foxnews.android:id/scale_text,,android.widget.ImageView,change_textsize,.feature.articledetail.ArticleDetailActivity,,,
com.foxnews.android:id/settings_bttn,,android.widget.TextView,menu_settings,.corenav.StartActivity,.foryou.SettingsActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[2],android.widget.FrameLayout,about,.foryou.SettingsActivity,.common.web.WebViewActivity,,
com.foxnews.android:id/navbar_browse,,androidx.appcompat.widget.LinearLayoutCompat,category,.corenav.StartActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.TextView[1],android.widget.TextView,cat_1,.corenav.StartActivity,.feature.topic.TopicActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[10],android.widget.FrameLayout,contact,.foryou.SettingsActivity,.common.web.WebViewActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[3],android.widget.FrameLayout,help,.foryou.SettingsActivity,.common.web.WebViewActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[4],android.widget.FrameLayout,legal,.foryou.SettingsActivity,.common.web.WebViewActivity,,
,"//android.widget.ImageButton[@content-desc=""Back""]",android.widget.ImageButton,back,.feature.articledetail.ArticleDetailActivity,.corenav.StartActivity,,
